DATA,CADERNO,PAGINA,NOME,PUBLICACAO,TEXTO,LISTANEGRITO
01-02-2023,1,1,PODER EXECUTIVO,1,"DECRETO Nº35.293, de 31 de janeiro de 2023.CESSA O PAGAMENTO DA GRATIFICAÇÃO POR ENCARGO DE LICITAÇÃO, NA FORMA DO INCISO II E §§ 6º, 7º, DO ART. 5º, DA LEI COMPLEMENTAR Nº65, DE 3 DE JANEIRO DE 2008.O GOVERNADOR DO ESTADO DO CEARÁ, no uso das atribuições que lhe confere o artigo 88, nos incisos IV e VI, da Constituição Estadual, CONSIDERANDO o teor dos ofícios números:084/2023-VICEGOV, constante do VIPROC n.º00785115/2023, 085/2023-VICEGOV, constante do VIPROC n.º00785956/2023, 083/2023-VICEGOV, constante do VIPROC n.º 00785514/2023, 082/2023-VICEGOV, constante do VIPROC n.º00785379/2023 e CONSIDERANDO o disposto no inciso II e §§ 6º e 7º, do art. 5º, da Lei Complementar nº 65, de 03 de janeiro de 2008, com redação dada pela Lei Complementar n.º 194, de 16 de abril de 2019, DECRETA:Art. 1º Fica cessado o pagamento da concessão de gratificação por encargo de licitação:NOMEÓRGÃO SOLICITANTEMATRÍCULAA PARTIR DEROSÁLIA CAVALCANTE MOTA JATAÍ CASTELOVICEGOV300002-1-8 1º/01/2023VINICIUS DA SILVA ROLIMVICEGOV3000197-41º/01/2023FRANCISCO RONALDO MONTEIRO GUIMARÃESVICEGOV300010361º/01/2023FERNANDA PINTO PACHECO LOBOVICEGOV300004121º/01/2023Art. 2º Este Decreto entra em vigor na data de sua publicação.PALÁCIO DA ABOLIÇÃO, DO GOVERNO DO ESTADO DO CEARÁ, aos 31 dias do mês de janeiro de 2023.Elmano de Freitas da CostaGOVERNADOR DO ESTADO DO CEARÁ","['DECRETO Nº35.293', 'CESSA O PAGAMENTO DA GRATIFICAÇÃO POR ENCARGO DE LICITAÇÃO, NA FORMA DO INCISO II E §§ 6º, 7º, DO ART. 5º, DA LEI COMPLEMENTAR Nº65, DE 3 DE JANEIRO DE 2008.', 'NOMEÓRGÃO SOLICITANTEMATRÍCULAA PARTIR DE']"
01-02-2023,1,1,PODER EXECUTIVO,2,"DECRETO Nº35.294, de 31 de janeiro de 2023.DISPENSA PREGOEIRO E MEMBRO DE EQUIPE DE APOIO, NA FORMA DA LEI COMPLEMENTAR Nº65, DE 3 DE JANEIRO DE 2008, E DÁ OUTRAS PROVIDÊNCIAS.O GOVERNADOR DO ESTADO DO CEARÁ, no uso da atribuição prevista no Art. 88, VI, da Constituição do Estado do Ceará, CONSIDERANDO a instituição do Sistema de Licitações do Estado do Ceará, na forma da Lei Complementar nº 65, de 03 de janeiro de 2008; DECRETA:Art. 1º Fica dispensado da função de Pregoeiro:NOMEMATRÍCULA/CPFA PARTIR DEEdmar Mendes da Silva405127-1-322/12/2022Art. 2º O Art. 1º do Decreto nº35.065 passa a vigorar com a seguinte redação:“Art. 1º Fica dispensado da função de Membro de equipe de apoio”:NOMEMATRÍCULA/CPFA PARTIR DEMaria Fátima Marques Feitosa Gonçalves300245-4-030/11/2022Art. 3º O Art. 1º do Decreto nº34.594, passa a vigorar com a seguinte redação:“Art. 1º Fica dispensado da função de Membro de equipe de apoio”:NOMEMATRÍCULA/CPFA PARTIR DEMarcela Martin Menezes Mapurunga405.146-1-907/03/2022Art.4º Este Decreto entra em vigor na data de sua publicaçãoPALÁCIO DA ABOLIÇÃO, DO GOVERNO DO ESTADO DO CEARÁ, em Fortaleza, aos 31 de janeiro de 2023.Elmano de Freitas da CostaGOVERNADOR DO ESTADO DO CEARÁ","['DECRETO Nº35.294', 'DISPENSA PREGOEIRO E MEMBRO DE EQUIPE DE APOIO, NA FORMA DA LEI COMPLEMENTAR Nº65, DE 3 DE JANEIRO DE 2008, E DÁ OUTRAS PROVIDÊNCIAS.', 'NOMEMATRÍCULA/CPFA PARTIR DE', 'NOMEMATRÍCULA/CPFA PARTIR DE', 'NOMEMATRÍCULA/CPFA PARTIR DE']"
01-02-2023,1,1,PODER EXECUTIVO,3,"DECRETO Nº35.295, de 31 de janeiro de 2023.DISPENSA MEMBRO DE EQUIPE DE APOIO, NA FORMA DA LEI COMPLEMENTAR Nº 65, DE 3 DE JANEIRO DE 2008, E DÁ OUTRAS PROVIDÊNCIAS.O GOVERNADOR DO ESTADO DO CEARÁ, no uso da atribuição prevista no Art. 88, VI, da Constituição do Estado do Ceará, CONSIDERANDO a instituição do Sistema de Licitações do Estado do Ceará, na forma da Lei Complementar nº 65, de 03 de janeiro de 2008; DECRETA: Art. 1º Fica dispensada da função de Membro de equipe de apoio:NOMEMATRÍCULA/CPFA PARTIR DEESTHER LISBOA FERNANDES303.258.-1-820/10/2022Art. 2º Este Decreto entra em vigor na data de sua publicação.PALÁCIO DA ABOLIÇÃO, DO GOVERNO DO ESTADO DO CEARÁ, aos 31 dias do mês de janeiro de 2023.Elmano de Freitas da CostaGOVERNADOR DO ESTADO DO CEARÁ","['DECRETO Nº35.295', 'DISPENSA MEMBRO DE EQUIPE DE APOIO, NA FORMA DA LEI COMPLEMENTAR Nº 65, DE 3 DE JANEIRO DE 2008, E DÁ OUTRAS PROVIDÊNCIAS.', 'NOMEMATRÍCULA/CPFA PARTIR DE']"
01-02-2023,1,1,PODER EXECUTIVO,4,"DECRETO Nº35.296, de 31 de janeiro de 2023.REDENOMINA O CENTRO DE FORMAÇÃO DE PROFESSORES DO ESTADO MARIA NELI SOBREIRA DE OLIVEIRA, QUE PASSA A DENOMINAR-SE CENTRO DE FORMAÇÃO E DESENVOLVIMENTO PARA OS PROFISSIONAIS DA EDUCAÇÃO DO ESTADO DO CEARÁ PROFª. MARIA NELI SOBREIRA DE OLIVEIRA – FORMACE, NO MUNICÍPIO DE FORTALEZA/CE E DÁ OUTRAS PROVIDÊNCIAS.O GOVERNADOR DO ESTADO DO CEARÁ, no uso das atribuições que lhe confere o Art. 88, incisos IV e VI, da Constituição do Estado e CONSIDERANDO o Art. 84, incisos I a XIII, do Decreto nº 35.048, de 14 de dezembro de 2022 e CONSIDERANDO a necessidade de atender à comunidade escolar, DECRETA:Art.1º Fica redenominado, na estrutura organizacional da Secretaria da Educação do Estado do Ceará, o CENTRO DE FORMAÇÃO DE PROFESSORES DO ESTADO MARIA NELI SOBREIRA DE OLIVEIRA, localizado no Município de Fortaleza/CE, denominado pela Lei nº 17.918, de 09 de fevereiro de 2022, publicada no Diário Oficial do Estado, em 11 de fevereiro de 2022, incluído na estrutura organizacional da Secretaria da Educação do Estado do Ceará pelo Decreto nº 34.606, de 28 de março de 2022, publicado no Diário Oficial do Estado, em 28 de março de 2022, pela Portaria nº 0256/2022 – GAB, publicada no Diário Oficial do Estado, em 04 de abril de 2022, e pelo Decreto nº 35.048, de 14 de dezembro de 2022, publicado no Diário Oficial do Estado, em 15 de dezembro de 2022, que passa a denominar-se: CENTRO DE FORMAÇÃO E DESENVOLVIMENTO PARA OS PROFISSIONAIS DA EDUCAÇÃO DO ESTADO DO CEARÁ PROFª. MARIA NELI SOBREIRA DE OLIVEIRA – FORMACE.Art. 2º Este Decreto entra em vigor na data de sua publicação, revogadas as disposições em contrário.PALÁCIO DA ABOLIÇÃO DO GOVERNO DO ESTADO DO CEARÁ, em Fortaleza, 31 de janeiro de 2023.Elmano de Freitas da CostaGOVERNADOR DO ESTADO DO CEARÁ","['DECRETO Nº35.296', 'REDENOMINA O CENTRO DE FORMAÇÃO DE PROFESSORES DO ESTADO MARIA NELI SOBREIRA DE OLIVEIRA, QUE PASSA A DENOMINAR-SE CENTRO DE FORMAÇÃO E DESENVOLVIMENTO PARA OS PROFISSIONAIS DA EDUCAÇÃO DO ESTADO DO CEARÁ PROFª. MARIA NELI SOBREIRA DE OLIVEIRA – FORMACE, NO MUNICÍPIO DE FORTALEZA/CE E DÁ OUTRAS PROVIDÊNCIAS.']"
01-02-2023,1,2,PODER EXECUTIVO,5,"DECRETO Nº35.297, de 31 de janeiro de 2023.DELEGA A COMPETÊNCIA QUE INDICA PARA O SECRETÁRIO DA SEGURANÇA PÚBLICA E DEFESA SOCIAL.O GOVERNADOR DO ESTADO DO CEARÁ, no uso das atribuições que lhe conferem os incisos IV e VI, do art.88, da Constituição Estadual, CONSIDERANDO a Lei Complementar n. 47, de 16 de julho de 2004, e suas alterações que instituiu o Fundo de Segurança Pública Defesa Social do Estado do Ceará – FSPDS, CONSIDERANDO o disposto no Decreto Estadual nº 33.393, de 13 de dezembro de 2019, que aprovou o regulamento do Fundo de Segurança Pública e Defesa Social do Estado do Ceará – FSPDS, CONSIDERANDO que o inciso VIII, do art. 7º, do Regulamento do FSPDS, estabelece competir ao seu Presidente expedir todos os atos necessários ao desempenho de suas atribuições, especialmente no que se refere às representações ativa e passiva junto ao Fundo Nacional de Segurança Pública – FNSP; CONSIDERANDO que o Secretário da Segurança Pública e Defesa Social ocupa a Presidência do Conselho Gestor do Fundo de Segurança Pública Defesa e Social, CONSIDERANDO a necessidade de conferir maior agilidade aos processos administrativos no âmbito do Fundo Nacional de Segurança Pública – FNSP; DECRETA:Art.1º Fica delegada ao Secretário da Segurança Pública e Defesa Social do Estado competência para celebrar termos de adesão e congêneres com o Ministério da Justiça e Segurança Pública – MJSP, referente ao repasse de recursos provenientes do Fundo Nacional de Segurança Pública - FNSP.Art. 2º Este Decreto entra em vigor na data de sua publicação.Art. 3º Revoga-se as disposições em contrário, em especial o Decreto nº 33.861, de 22 de dezembro de 2020.PALÁCIO DA ABOLIÇÃO DO GOVERNO DO ESTADO DO CEARÁ, em Fortaleza, aos 31 de janeiro de 2023.Elmano de Freitas da CostaGOVERNADOR DO ESTADO DO CEARÁ","['DECRETO Nº35.297', 'DELEGA A COMPETÊNCIA QUE INDICA PARA O SECRETÁRIO DA SEGURANÇA PÚBLICA E DEFESA SOCIAL.']"
01-02-2023,1,2,PODER EXECUTIVO,6,"DECRETO Nº35.298, de 31 de janeiro de 2023.CESSA OS EFEITOS DA DESIGNAÇÃO DE AGENTE PÚBLICO PARA RESPONDER PELO EXPEDIENTE QUE INDICA, E DÁ OUTRAS PROVIDÊNCIAS.O GOVERNADOR DO ESTADO DO CEARÁ, no uso das atribuições que lhe confere o art. 88, inciso IV e VI, da Constituição Estadual, CONSIDERANDO o Decreto n. 35.273, de 11 de janeiro de 2023, que designou o Secretário Executivo de Planejamento e Gestão Interna da Secretaria do Desenvolvimento Agrário, para responder, interina e cumulativamente, pelo expediente do cargo de Secretário do Desenvolvimento Agrário, enquanto não nomeado o dirigente máximo do referido órgão, DECRETA:Art. 1º Ficam cessados, a partir do dia 01 de fevereiro de 2023, os efeitos da designação promovida no art. 1º, do Decreto n. 35.273, de 11 de janeiro de 2023, o qual indicou o Secretário Executivo de Planejamento e Gestão Interna da Secretaria do Desenvolvimento Agrário, TAUMATURGO MEDEIROS DOS ANJOS JÚNIOR, para responder, interina e cumulativamente, pelo expediente do cargo de Secretário do Desenvolvimento Agrário.Art. 2° Este Decreto entra em vigor na data de sua publicação.PALÁCIO DA ABOLIÇÃO DO GOVERNO DO ESTADO DO CEARÁ, em Fortaleza, 31 de janeiro de 2023.Elmano de Freitas da CostaGOVERNADOR DO ESTADO DO CEARÁ","['DECRETO Nº35.298', 'CESSA OS EFEITOS DA DESIGNAÇÃO DE AGENTE PÚBLICO PARA RESPONDER PELO EXPEDIENTE QUE INDICA, E DÁ OUTRAS PROVIDÊNCIAS.']"
01-02-2023,1,3,PODER EXECUTIVO,7,"DECRETO Nº35.299, de 31 de janeiro de 2023.CESSA OS EFEITOS DA DESIGNAÇÃO DE AGENTE PÚBLICO PARA RESPONDER PELO EXPEDIENTE QUE INDICA, E DÁ OUTRAS PROVIDÊNCIAS.O GOVERNADOR DO ESTADO DO CEARÁ, no uso das atribuições que lhe confere o art. 88, inciso IV e VI, da Constituição Estadual, CONSIDERANDO o Decreto n. 35.274, de 11 de janeiro de 2023, que designou o Secretário Executivo de Saneamento da Secretaria das Cidades, para responder, interina e cumulativamente, pelo expediente do cargo de Secretário das Cidades, enquanto não nomeado o dirigente máximo do referido órgão, DECRETA:Art. 1º Ficam cessados, a partir do dia 01 de fevereiro de 2023, os efeitos da designação promovida no art. 1º, do Decreto n. 35.274, de 11 de janeiro de 2023, o qual indicou o Secretário Executivo de Saneamento da Secretaria das Cidades, MARCOS CÉSAR CALS DE OLIVEIRA, para responder, interina e cumulativamente, pelo expediente do cargo de Secretário das Cidades.Art. 2° Este Decreto entra em vigor na data de sua publicação.PALÁCIO DA ABOLIÇÃO DO GOVERNO DO ESTADO DO CEARÁ, em Fortaleza, 31 de janeiro de 2023.Elmano de Freitas da CostaGOVERNADOR DO ESTADO DO CEARÁ","['DECRETO Nº35.299', 'CESSA OS EFEITOS DA DESIGNAÇÃO DE AGENTE PÚBLICO PARA RESPONDER PELO EXPEDIENTE QUE INDICA, E DÁ OUTRAS PROVIDÊNCIAS.']"
01-02-2023,1,3,PODER EXECUTIVO,8,"DECRETO Nº35.300, de 31 de janeiro de 2023.CESSA OS EFEITOS DA DESIGNAÇÃO DE AGENTE PÚBLICO PARA RESPONDER PELO EXPEDIENTE QUE INDICA, E DÁ OUTRAS PROVIDÊNCIAS.O GOVERNADOR DO ESTADO DO CEARÁ, no uso das atribuições que lhe confere o art. 88, inciso IV e VI, da Constituição Estadual, CONSIDERANDO o Decreto n. 35.282, de 19 de janeiro de 2023, que designou o Secretário Executivo de Planejamento e Gestão Interna da Secretária do Desenvolvimento Econômico e Trabalho, para responder, interina e cumulativamente, pelo expediente do cargo de Secretário do Desenvolvimento Econômico e Trabalho, enquanto não nomeado o dirigente máximo do referido órgão, DECRETA:Art. 1º Ficam cessados, a partir do dia 01 de fevereiro de 2023, os efeitos da designação promovida no art. 1º, do Decreto n. 35.282, de 19 de janeiro de 2023, o qual indicou o Secretário Executivo de Planejamento e Gestão Interna da Secretária do Desenvolvimento Econômico e Trabalho, GEORGE DANTAS PAIVA, para responder, interina e cumulativamente, pelo expediente do cargo de Secretário do Desenvolvimento Econômico e Trabalho.Art. 2° Este Decreto entra em vigor na data de sua publicação.PALÁCIO DA ABOLIÇÃO DO GOVERNO DO ESTADO DO CEARÁ, em Fortaleza, 31 de janeiro de 2023.Elmano de Freitas da CostaGOVERNADOR DO ESTADO DO CEARÁ","['DECRETO Nº35.300', 'CESSA OS EFEITOS DA DESIGNAÇÃO DE AGENTE PÚBLICO PARA RESPONDER PELO EXPEDIENTE QUE INDICA, E DÁ OUTRAS PROVIDÊNCIAS.']"
01-02-2023,1,3,PODER EXECUTIVO,9,"O GOVERNADOR DO ESTADO DO CEARÁ, no uso de suas atribuições legais, resolve designar o Secretário  de Estado Chefe da Casa Civil, MAXIMI-LIANO CESAR PEDROSA QUINTINO DE MEDEIROS, para representar o acionista ESTADO DO CEARÁ, na 129ª Assembleia Geral Extraordinária da Companhia de Gás do Ceará– CEGÁS, a ser realizada em 07 de fevereiro de 2023, às 14h, na Sede da Companhia, na Avenida Washington Soares, nº 6475 – José de Alencar, nesta Capital, com poderes para deliberar sobre os assuntos constantes na Convocação. PALÁCIO DA ABOLIÇÃO, DO GOVERNO DO ESTADO DO CEARÁ,  aos 01 de fevereiro de 2023.Elmano de Freitas da CostaGOVERNADOR DO ESTADO DO CEARÁ","['designar ', 'MAXIMI-LIANO CESAR PEDROSA QUINTINO DE MEDEIROS,']"
01-02-2023,1,3,PODER EXECUTIVO,10,"O GOVERNADOR DO ESTADO DO CEARÁ, no uso de suas atribuições que lhe confere o inciso I do art. 88, da Constituição do Estado do Ceará, e em conformidade com a Lei Estadual n° 16.710, de 21 de dezembro de 2018, e de acordo com o Decreto Federal n° 10.835, de 14 de outubro de 2021, RESOLVE NOMEAR NABUPOLASAR ALVES FEITOSA, lotado no Gabinete de Segurança Institucional da Presidência da República, para exercer as funções do cargo de provimento em comissão de Superintendente, integrante da estrutura organizacional da SUPERINTENDÊNCIA DE PESQUISA E ESTRATÉGIA DE SEGURANÇA PÚBLICA DO ESTADO DO CEARÁ, a partir de 26 de janeiro de 2023. PALÁCIO DA ABOLIÇÃO DO GOVERNO DO ESTADO DO CEARÁ, em Fortaleza, 01 de fevereiro de 2023.Elmano de Freitas da CostaGOVERNADOR DO ESTADO DO CEARÁ","['NOMEAR NABUPOLASAR ALVES FEITOSA,']"
